D,Ecomp,Ecomp_solid,Edarcy,Eshear,Eshear_solid,Etotal,Etotal_solid,a,k,α,ζ,ηs,κd,φ
300.0,NaN,1.0164676499317544e7,NaN,NaN,8.020826518865102e9,NaN,8.0813088909395685e9,0.1,2.8895539736148455e-10,0.21476436538992827,6.655492384237034e20,7.467585277580127e18,1.2331900037229642e11,0.011220184543019636
300.0,7.96341563331582e6,1.0164676499317544e7,5.3591388508244705e8,7.872196006485242e9,8.020826518865102e9,8.4639635772486515e9,8.0813088909395685e9,0.2,1.1558215894459382e-9,0.21476436538992827,6.655492384237034e20,7.467585277580127e18,1.2331900037229642e11,0.011220184543019636
50.0,NaN,3.3548272444914686e6,NaN,NaN,1.0137180379946741e9,NaN,1.0222423897361213e9,0.01,4.092929811239441e-12,0.22375288337130828,5.7242079885094486e20,7.206350899129721e18,1.2051191721487155e11,0.012589254117941675
50.0,2.274659325163206e6,3.3548272444914686e6,4.131075024083845e7,9.700587897634761e8,1.0137180379946741e9,1.0181629467264916e9,1.0222423897361213e9,0.1,4.092929811239442e-10,0.22375288337130828,5.7242079885094486e20,7.206350899129721e18,1.2051191721487155e11,0.012589254117941675
50.0,2.2746729352606996e6,3.3548272444914686e6,1.6357794502112785e8,9.700580649229455e8,1.0137180379946741e9,1.140494165427703e9,1.0222423897361213e9,0.2,1.6371719244957768e-9,0.22375288337130828,5.7242079885094486e20,7.206350899129721e18,1.2051191721487155e11,0.012589254117941675
300.0,NaN,1.1818390784285218e7,NaN,NaN,8.311586095467105e9,NaN,8.375544600518792e9,0.01,4.092929811239441e-12,0.22375288337130828,5.7242079885094486e20,7.206350899129721e18,1.2051191721487155e11,0.012589254117941675
300.0,NaN,1.1818390784285218e7,NaN,NaN,8.311586095467105e9,NaN,8.375544600518792e9,0.1,4.092929811239442e-10,0.22375288337130828,5.7242079885094486e20,7.206350899129721e18,1.2051191721487155e11,0.012589254117941675
300.0,9.188015226946391e6,1.1818390784285218e7,7.545246863815908e8,8.147020776137042e9,8.311586095467105e9,8.960296485329182e9,8.375544600518792e9,0.2,1.6371719244957768e-9,0.22375288337130828,5.7242079885094486e20,7.206350899129721e18,1.2051191721487155e11,0.012589254117941675
50.0,NaN,3.9178470876324456e6,NaN,NaN,1.0551021166112695e9,NaN,1.0644009396654497e9,0.01,5.799447466315958e-12,0.23263851063818108,4.901602447813068e20,6.923697486350752e18,1.1776873107111778e11,0.01412537544622754
50.0,2.6145566070278673e6,3.9178470876324456e6,5.813274013311235e7,1.0069879335196505e9,1.0551021166112695e9,1.0724228193731794e9,1.0644009396654497e9,0.1,5.799447466315959e-10,0.23263851063818108,4.901602447813068e20,6.923697486350752e18,1.1776873107111778e11,0.01412537544622754
50.0,2.6145769074689704e6,3.9178470876324456e6,2.2988083883726308e8,1.0069869858298324e9,1.0551021166112695e9,1.2442603205343547e9,1.0644009396654497e9,0.2,2.3197789865263835e-9,0.23263851063818108,4.901602447813068e20,6.923697486350752e18,1.1776873107111778e11,0.01412537544622754
300.0,NaN,1.3801797993403984e7,NaN,NaN,8.650898733853283e9,NaN,8.718967317217619e9,0.01,5.799447466315958e-12,0.23263851063818108,4.901602447813068e20,6.923697486350752e18,1.1776873107111778e11,0.01412537544622754
